	nn	opentime	price	volume	numtrade	minper	maxper	RSI	MA2_1_perc	MA2_2_perc	MA1d30_perc	Lev24hMAX_perc	Lev24hMIN_perc	Lev7dMAX_perc	Lev7dMIN_perc
2942	2942.0	0.8542	0.000462	32493.0	91.0	-1.33	0.71	0.5672	-0.3918	-0.2319	4.0051	3.0303	-1.9264	8.1364	-2.3355
2943	2943.0	0.8646	0.00046288	60230.0	98.0	-1.51	0.29	0.6122	-0.5123	-0.4007	3.8074	2.8344	-2.1129	7.9308	-2.5212
2944	2944.0	0.875	0.0004589	56385.0	192.0	-0.66	1.34	0.3952	0.3149	0.4389	4.7077	3.7263	-1.2639	8.8669	-1.6757
2945	2945.0	0.8854	0.00045853	39054.0	70.0	-1.6	1.43	0.3805	0.3067	0.4756	4.7922	3.81	-0.687	8.9547	-1.5964
2946	2946.0	0.8958	0.00046065	20648.0	46.0	-2.05	0.96	0.5034	-0.1256	0.0014	4.3099	3.3322	-1.144	8.4533	-2.0493
2947	2947.0	0.9062	0.00045952	17676.0	38.0	-1.81	1.21	0.4481	0.1347	0.2093	4.5664	3.5864	-0.9009	8.72	-1.8084
2948	2948.0	0.9167	0.0004602	136976.0	62.0	-1.95	1.06	0.4877	0.0041	0.0185	4.4119	3.4333	-1.0474	8.5593	-1.9535
2949	2949.0	0.9271	0.00045832	38451.0	123.0	-1.55	1.47	0.3962	0.3938	0.3741	4.8402	3.8576	-1.5513	9.0046	-1.5513
2950	2950.0	0.9375	0.0004582	19312.0	55.0	-1.53	1.5	0.3907	0.3165	0.3694	4.8677	3.8848	-1.5255	9.0332	-1.5255
2951	2951.0	0.9479	0.00045995	25681.0	72.0	-1.9	1.11	0.5064	-0.1449	-0.0162	4.4687	3.4895	-1.9002	8.6183	-1.9002
2952	2952.0	0.9583	0.00046121	9720.0	41.0	-2.17	0.86	0.5743	-0.355	-0.2979	4.1833	3.2068	-2.1682	8.3216	-2.1682
2953	2953.0	0.9688	0.00046303	22634.0	73.0	-2.55	0.47	0.6544	-0.6252	-0.64	3.7738	2.8011	-2.5528	7.8958	-2.5528
2954	2954.0	0.9792	0.00046068	156362.0	147.0	-2.06	1.04	0.5099	-0.1175	-0.1085	4.3031	3.3255	-2.0557	8.4462	-2.0557
2955	2955.0	0.9896	0.00046073	27618.0	66.0	-0.22	1.04	0.5126	-0.0955	-0.1024	4.2918	3.3143	-2.0663	8.4344	-2.0663
2956	2956.0	0.0	0.0004609	12630.0	29.0	-0.21	1.0	0.5229	-0.1134	-0.1128	4.2533	3.2762	-2.1024	8.3944	-2.1024
2957	2957.0	0.0104	0.00046019	17277.0	38.0	-0.0	1.16	0.474	0.0915	0.0151	4.4142	3.4355	-1.9514	8.5617	-1.9514
2958	2958.0	0.0208	0.00046215	34486.0	19.0	-0.42	1.01	0.5957	-0.2261	-0.4196	3.9714	2.9969	-2.3672	8.1013	-2.3672
2959	2959.0	0.0312	0.000463	10026.0	22.0	-0.6	0.86	0.6381	-0.3269	-0.5434	3.7805	2.8078	-2.5464	7.9028	-2.5464
2960	2960.0	0.0417	0.00046153	29186.0	55.0	-0.28	1.43	0.5267	-0.0008	-0.1833	4.111	3.1352	-2.236	8.2465	-2.236
2961	2961.0	0.0521	0.00046157	35861.0	59.0	-0.04	1.83	0.5293	-0.049	-0.1787	4.102	3.1263	-2.2445	8.2371	-2.2445
2962	2962.0	0.0625	0.00046277	9648.0	40.0	-0.3	1.56	0.6054	-0.2517	-0.3907	3.8321	2.8589	-2.498	7.9564	-2.498
2963	2963.0	0.0729	0.00046349	43924.0	50.0	-0.46	1.4	0.6456	-0.3323	-0.4981	3.6708	2.6991	-2.6495	7.7887	-2.6495
2964	2964.0	0.0833	0.00046547	58098.0	57.0	-0.88	0.97	0.7328	-0.6335	-0.819	3.2298	2.2622	-3.0636	7.3302	-3.0636
2965	2965.0	0.0938	0.00046399	11206.0	30.0	-0.56	2.09	0.6033	-0.2142	-0.4194	3.5591	1.6962	-2.7544	7.6726	-2.7544
2966	2966.0	0.1042	0.00046299	11019.0	34.0	-0.0	2.84	0.5296	0.024	-0.1606	3.7827	1.9158	-2.5443	7.9051	-2.5443
2967	2967.0	0.1146	0.00046519	35197.0	88.0	-0.22	2.41	0.6419	-0.3902	-0.5757	3.2919	1.4338	-3.0052	7.3948	-3.0052
2968	2968.0	0.125	0.00046516	10140.0	56.0	-0.1	2.42	0.6395	-0.2862	-0.5387	3.2986	1.4404	-2.999	7.4018	-2.999
2969	2969.0	0.1354	0.00046588	37581.0	66.0	-0.02	2.38	0.674	-0.3247	-0.618	3.1389	2.198	-3.1489	7.2358	-3.1489
2970	2970.0	0.1458	0.0004676	54063.0	133.0	-0.15	2.0	0.7427	-0.5622	-0.8857	2.7596	1.8221	-3.5051	6.8413	-3.5051
2971	2971.0	0.1562	0.00046797	9413.0	35.0	-0.22	1.92	0.7557	-0.5211	-0.8633	2.6783	1.7416	-3.5814	6.7568	-3.5814
2972	2972.0	0.1667	0.0004685	35499.0	42.0	-0.34	1.81	0.7746	-0.5528	-0.8572	2.5621	1.6265	-3.6905	6.6361	-3.6905
2973	2973.0	0.1771	0.00046899	18891.0	55.0	-0.6	1.7	0.792	-0.5235	-0.8636	2.455	1.7015	-3.7911	6.5247	-3.7911
